06-01819_Timestamps,Battery Percent% Battery P7,Battery Voltage mV Battery P7,Reference Pressure kPa Barometer P8,Logger Temperature °C Barometer P8
2018-08-31 14:30:00,85,6400,87.34,21.7
2018-08-31 15:45:00,81,6372,87.32,23.0
2018-08-31 16:00:00,83,6386,87.31,22.8
2018-08-31 16:15:00,84,6388,87.31,22.3
2018-08-31 16:30:00,79,6357,87.3,22.0
2018-08-31 16:45:00,84,6388,87.3,21.9
2018-08-31 17:00:00,83,6386,87.31,21.8
2018-08-31 17:15:00,83,6387,87.3,21.8
2018-08-31 17:30:00,84,6391,87.3,21.7
2018-08-31 17:45:00,83,6386,87.29,21.7
2018-08-31 18:00:00,84,6390,86.96,21.7
2018-08-31 18:15:00,84,6391,86.44,22.0
2018-08-31 18:30:00,84,6388,86.43,22.2
2018-08-31 18:45:00,84,6390,86.44,22.4
2018-08-31 19:00:00,84,6388,86.44,22.5
2018-08-31 19:15:00,84,6391,86.45,22.5
2018-08-31 19:30:00,84,6388,86.45,22.6
2018-08-31 19:45:00,84,6391,86.46,22.6
2018-08-31 20:00:00,84,6390,86.47,22.6
2018-08-31 20:15:00,84,6392,86.49,22.7
2018-08-31 20:30:00,84,6391,86.49,22.7
2018-08-31 20:45:00,84,6391,86.51,22.7
2018-08-31 21:00:00,84,6391,86.52,22.7
2018-08-31 21:15:00,84,6392,86.53,22.7
2018-08-31 21:30:00,84,6390,86.55,22.7
2018-08-31 21:45:00,84,6391,86.55,22.7
2018-08-31 22:00:00,84,6391,86.56,22.6
2018-08-31 22:15:00,84,6391,86.55,22.6
2018-08-31 22:30:00,84,6391,86.55,22.6
2018-08-31 22:45:00,84,6390,86.55,22.6
2018-08-31 23:00:00,84,6391,86.55,22.5
2018-08-31 23:15:00,83,6387,86.55,22.5
2018-08-31 23:30:00,84,6389,86.54,22.4
2018-08-31 23:45:00,84,6390,86.54,22.3
2018-09-01 00:00:00,84,6390,86.54,22.2
2018-09-01 00:15:00,79,6358,86.55,22.4
2018-09-01 00:30:00,81,6369,86.56,22.3
2018-09-01 00:45:00,81,6372,86.57,22.1
2018-09-01 01:00:00,81,6371,86.58,22.0
2018-09-01 01:15:00,81,6372,86.58,21.8
2018-09-01 01:30:00,81,6371,86.57,21.8
2018-09-01 01:45:00,81,6372,86.57,21.7
2018-09-01 02:00:00,81,6372,86.57,21.6
2018-09-01 02:15:00,81,6372,86.56,21.5
2018-09-01 02:30:00,81,6369,86.56,21.4
