06-01819_Timestamps,Solar Radiation W/m² ATMOS 41 P1,Precipitation mm ATMOS 41 P1,Lightning Activity ATMOS 41 P1,Lightning Distance km ATMOS 41 P1,Wind Direction° ATMOS 41 P1,Wind Speed m/s ATMOS 41 P1,Gust Speed m/s ATMOS 41 P1,Air Temperature °C ATMOS 41 P1,Vapor Pressure kPa ATMOS 41 P1,Atmospheric Pressure kPa ATMOS 41 P1,X-axis Level° ATMOS 41 P1,Y-axis Level° ATMOS 41 P1,Max Precip Rate mm/h ATMOS 41 P1,RH Sensor Temp °C ATMOS 41 P1,VPD kPa | ATMOS 41 | P1,Water Level mm CTD-10 P6,Water Temperature °C CTD-10 P6,EC mS/cm CTD-10 P6,Sensor Metadata CTD-10 P6,Battery Percent% Battery P7,Battery Voltage mV Battery P7,Reference Pressure kPa Barometer P8,Logger Temperature °C Barometer P8
2018-09-21 17:15:00,91.0,0.0,0,0,15,0.54,1.05,18.6,0.99,93.02,0.3,-0.6,0.0,20.2,1.14,,,,,100,6792,93.05,20.7
2018-09-21 18:30:00,130.0,0.0,0,0,84,1.15,2.01,18.0,1.06,93.0,0.4,-1.0,0.0,19.3,1.01,,,,,100,6795,93.02,19.0
2018-09-21 19:00:00,31.0,0.0,0,0,84,0.91,1.29,16.2,1.12,93.01,0.3,-0.8,0.0,18.0,0.73,,,,,100,6796,93.03,17.8
2018-09-21 20:00:00,0.0,0.0,0,0,101,0.65,1.0,12.7,1.02,93.05,0.2,-0.5,0.0,12.5,0.44,,,,,100,6797,93.08,12.3
2018-09-21 21:30:00,0.0,0.0,0,0,331,0.74,1.44,9.1,0.99,93.13,0.2,-0.6,0.0,9.0,0.16,,,,,100,6788,93.14,9.2
2018-09-21 22:30:00,0.0,0.0,0,0,92,0.96,1.5,8.3,0.95,93.11,0.2,-0.6,0.0,7.8,0.14,,,,,100,6783,93.09,8.4
2018-09-21 23:00:00,0.0,0.0,0,0,58,0.98,1.83,9.5,1.02,93.04,0.2,-0.6,0.0,8.6,0.16,,,,,100,6780,93.05,9.1
2018-09-22 00:30:00,0.0,0.0,0,0,85,1.24,1.93,9.4,1.07,92.98,0.2,-0.6,0.0,9.0,0.11,,,,,100,6776,92.97,9.7
2018-09-22 01:00:00,0.0,0.0,0,0,71,1.43,2.86,9.8,1.07,92.94,0.2,-0.5,0.0,9.4,0.14,,,,,100,6774,92.94,10.1
2018-09-22 02:15:00,0.0,0.0,0,0,91,2.88,4.34,10.0,1.05,92.83,0.0,-0.6,0.0,9.9,0.18,,,,,100,6774,92.84,10.7
2018-09-22 03:30:00,0.0,0.0,0,0,60,1.14,2.0,9.9,1.05,92.79,0.2,-0.5,0.0,9.9,0.17,,,,,100,6768,92.79,10.7
2018-09-22 04:00:00,0.0,0.0,0,0,79,1.78,2.75,9.8,1.04,92.73,0.3,-0.5,0.0,9.4,0.17,,,,,100,6766,92.73,10.4
2018-09-22 05:30:00,0.0,0.0,0,0,81,2.45,4.21,10.2,1.06,92.66,0.2,-0.4,0.0,10.0,0.18,4034.0,8.5,2.636,1.0,100,6765,92.66,10.7
2018-09-22 06:15:00,0.0,0.0,0,0,80,3.31,5.43,10.7,1.08,92.62,0.1,-0.8,0.0,10.6,0.21,4034.0,8.5,2.636,1.0,100,6764,92.62,11.2
2018-09-22 07:00:00,0.0,0.0,0,0,97,2.89,4.43,10.0,1.07,92.63,0.0,-0.5,0.0,10.3,0.16,4033.0,8.5,2.636,1.0,100,6763,92.63,11.0
2018-09-22 08:00:00,28.0,0.0,0,0,97,1.64,2.89,9.5,1.06,92.68,0.2,-0.6,0.0,9.6,0.13,4031.0,8.5,2.642,1.0,100,6760,92.67,10.5
2018-09-22 09:30:00,123.0,0.0,0,0,112,1.34,2.42,10.3,1.1,92.74,0.3,-0.7,0.0,10.6,0.15,4025.0,8.5,2.642,1.0,100,6761,92.74,11.2
2018-09-22 10:00:00,177.0,0.0,0,0,97,1.63,2.52,10.7,1.11,92.74,0.2,-0.6,0.0,11.4,0.17,4023.0,8.5,2.642,1.0,100,6764,92.74,11.8
2018-09-22 11:15:00,285.0,0.0,0,0,9,0.6,1.37,11.7,1.17,92.77,0.3,-0.7,0.0,13.6,0.21,4019.0,8.5,2.642,1.0,100,6770,92.79,13.8
2018-09-22 12:00:00,281.0,0.0,0,0,230,0.83,1.5,12.6,1.19,92.78,0.2,-0.6,0.0,15.0,0.26,4019.0,8.5,2.642,1.0,100,6793,92.8,15.4
2018-09-22 13:00:00,378.0,0.0,0,0,266,2.46,3.92,13.4,1.2,92.79,0.2,-0.9,0.0,15.6,0.33,4017.0,8.5,2.636,1.0,100,6790,92.81,15.8
2018-09-22 14:00:00,297.0,0.0,0,0,269,2.3,3.76,13.6,1.18,92.81,0.5,-0.6,0.0,15.8,0.38,4016.0,8.5,2.642,1.0,100,6799,92.82,16.2
2018-09-22 15:30:00,248.0,0.0,0,0,250,1.36,2.45,13.7,1.16,92.79,0.2,-0.7,0.0,15.2,0.4,4014.0,8.5,2.636,1.0,100,6799,92.81,15.4
2018-09-22 16:00:00,214.0,0.0,0,0,202,1.34,2.07,13.9,1.17,92.8,0.2,-0.8,0.0,15.3,0.41,4013.0,8.5,2.642,1.0,100,6803,92.82,15.5
2018-09-22 17:15:00,108.0,0.0,0,0,155,0.85,1.35,14.3,1.16,92.83,0.2,-0.7,0.0,15.2,0.47,4011.0,8.5,2.636,1.0,100,6802,92.85,15.4
2018-09-22 18:30:00,34.0,0.0,0,0,70,2.2,3.58,11.0,1.0,92.92,0.3,-0.5,0.0,11.7,0.32,4006.0,8.5,2.642,1.0,100,6802,92.93,12.5
2018-09-22 19:15:00,2.0,0.0,0,0,77,2.31,4.15,10.0,0.96,92.94,0.2,-0.6,0.0,10.4,0.27,4003.0,8.5,2.636,1.0,100,6799,92.94,11.3
2018-09-22 20:00:00,0.0,0.0,0,0,72,2.76,4.64,9.4,0.95,92.95,0.3,-0.7,0.0,9.5,0.23,4002.0,8.5,2.642,1.0,100,6796,92.96,10.6
2018-09-22 21:15:00,0.0,0.0,0,0,81,1.95,4.16,8.7,0.93,93.04,0.3,-0.6,0.0,8.9,0.2,3997.0,8.5,2.636,1.0,100,6794,93.03,10.0
2018-09-22 22:00:00,0.0,0.0,0,0,86,2.0,4.29,8.5,0.93,93.09,0.3,-0.6,0.0,8.5,0.17,3995.0,8.5,2.642,1.0,100,6792,93.08,9.6
2018-09-22 23:30:00,0.0,0.0,0,0,96,5.3,7.75,8.0,0.95,93.01,0.3,-0.7,0.0,8.0,0.12,3996.0,8.5,2.636,1.0,100,6792,93.0,9.2
2018-09-23 00:15:00,0.0,0.0,0,0,70,2.42,5.84,7.8,0.95,93.08,0.1,-0.6,0.0,7.8,0.11,3995.0,8.5,2.63,1.0,100,6799,93.05,9.2
2018-09-23 01:00:00,0.0,0.0,0,0,81,3.48,6.52,7.4,0.94,93.02,-0.1,-0.5,0.0,7.5,0.08,3997.0,8.5,2.636,1.0,100,6796,92.99,8.8
2018-09-23 02:30:00,0.0,0.0,0,0,85,3.94,6.52,6.9,0.92,92.97,0.1,-0.8,0.0,7.0,0.08,3999.0,8.5,2.642,1.0,100,6790,92.94,8.4
2018-09-23 03:15:00,0.0,0.0,0,0,68,2.4,4.53,6.9,0.92,92.95,0.3,-0.6,0.0,6.9,0.07,4002.0,8.5,2.636,1.0,100,6788,92.9,8.4
2018-09-23 04:00:00,0.0,0.0,0,0,83,3.27,5.51,6.8,0.92,92.93,0.1,-0.3,0.0,7.0,0.07,4003.0,8.5,2.636,1.0,100,6789,92.89,8.4
2018-09-23 05:00:00,0.0,0.0,0,0,87,2.49,4.14,6.7,0.92,92.97,0.3,-0.6,0.0,6.8,0.06,4001.0,8.6,2.636,1.0,100,6783,92.94,8.3
2018-09-23 06:15:00,0.0,0.017,0,0,73,2.44,3.84,6.5,0.92,92.98,0.1,-0.8,1.0,6.6,0.05,3998.0,8.6,2.636,1.0,100,6780,92.94,8.1
2018-09-23 07:00:00,0.0,0.0,0,0,83,3.19,4.81,6.2,0.92,92.92,-0.1,-0.5,0.0,6.4,0.03,4001.0,8.5,2.642,1.0,100,6779,92.87,8.0
2018-09-23 08:00:00,15.0,0.0,0,0,88,3.64,6.19,5.9,0.9,92.92,0.4,-0.2,0.0,6.2,0.03,4002.0,8.5,2.642,1.0,100,6771,92.88,7.8
2018-09-23 09:15:00,38.0,0.0,0,0,93,3.15,4.99,5.6,0.9,92.98,0.3,-0.4,0.0,6.0,0.01,4000.0,8.6,2.636,1.0,100,6772,92.93,7.6
2018-09-23 10:15:00,92.0,0.0,0,0,78,2.88,4.57,5.8,0.92,92.98,0.3,-0.5,0.0,6.2,0.0,3997.0,8.6,2.636,1.0,100,6772,92.93,7.8
2018-09-23 11:00:00,96.0,0.0,0,0,83,2.48,4.25,5.8,0.92,92.98,0.1,-0.7,0.0,6.4,0.0,3997.0,8.6,2.636,1.0,100,6772,92.93,8.0
2018-09-23 12:00:00,199.0,0.0,0,0,74,2.08,4.23,6.5,0.97,92.94,0.2,-0.7,0.0,7.8,,3998.0,8.6,2.642,1.0,100,6780,92.91,9.0
2018-09-23 13:15:00,139.0,0.0,0,0,102,2.76,4.21,7.2,0.99,92.88,0.0,-0.7,0.0,8.2,0.03,4001.0,8.6,2.636,1.0,100,6786,92.85,9.4
2018-09-23 14:30:00,132.0,0.0,0,0,109,1.82,3.2,8.7,1.06,92.84,0.3,-0.6,0.0,10.0,0.06,4004.0,8.6,2.642,1.0,100,6794,92.81,10.9
